"LS" "MD" "MAD" "MAN" "MPEL" "MPEC" "DAD" "DC" "DAN" "DPEL" "DPEC" "ADC" "ADAN" "ADPEL" "ADPEC" "PECPEL" "PECAN" "PECC" "PELAN" "PELC" "ANC" "LPRO" "DO" "LPOO" "LTET" "HTET" "LMAX" "LAD" "LD" "HD" "LC" "LAN" "HAN" "LPELG" "LPECG" "HPED" "ETET"
150.99 69.4 121.24 111.99 84.9 41.6 52.64 84.8 52.9 36.18 43.77 32.4 28.03 48.49 87.97 46.02 72.77 113.81 27.96 69.76 42.67 10.02 9.81 21.95 39.5 22.66 20.36 13.69 19.13 23.15 27.44 15.06 22.59 23.65 30.95 16.99 14.43
172.96 82.2 139.76 124.76 87.1 41.11 62.19 97.46 59.3 37.17 52 36.38 29.55 58.82 102.76 47.03 86.21 134.37 39.13 87.88 50.35 9.15 11.25 25.2 44.62 26.34 21.41 12 22.77 NA 25.97 18.22 27.42 24.81 32.01 17.09 16.91
111.98 49.31 88.04 79.67 58.7 28.27 39.81 65.04 38.87 25.68 32.31 24.86 20.17 35.8 64.6 31.83 53.21 86.84 21.14 55.17 34.68 6.01 7.93 15.07 27.87 17.96 13.88 9.09 16.1 17.38 17.12 11.18 15.94 15.48 19.66 12.01 9.73
112.94 52.99 90.05 82.34 59.66 28.04 38.67 62.92 38.83 25.02 32.9 24.42 18.72 34.95 65.47 33.43 56.65 87.64 23.68 54.61 31.97 5.73 8.49 16.17 28.08 17.2 13.91 8.85 15.08 17.84 20.03 9.64 14.22 15.71 20.57 11.63 10.62
121.43 58.48 96.83 87.48 62.99 32.82 40.87 66.22 39.99 25.92 31.65 25.94 20.26 38.95 65.96 30.48 57.41 91.98 25.66 60.07 35.1 8.51 8.97 17.4 32.91 19.71 16.98 11.5 14.34 18.22 21.89 11.45 17.44 18.31 23.76 11.95 11.36
112.52 50.65 88.53 82.32 59.84 29.85 38.63 63.96 37.7 24.01 29.82 24.11 17.66 33.94 63.96 31.6 52.82 85.75 22.59 54.82 32.46 6.49 7.92 15.13 28.42 15.85 13.76 7.45 15.53 17.5 17.46 10.14 14 14.96 19.61 10.12 9.58
145.54 66.64 114.92 107.5 79.27 37.17 50.04 81.59 48.51 31.01 40.32 31.75 24.66 45.77 84.39 43.25 72.26 112.25 28.82 69.43 41.26 9.32 9.94 21.38 39.07 22.27 20.76 13.24 19.46 NA 25.78 14.44 20.91 22.44 28.92 15.26 14.33
136.13 64.31 110.37 99.35 73.15 34.65 47.2 73.92 43.84 27.97 38.24 27.25 22.46 43.15 77 36.84 63.39 104.56 27.24 64.05 38.55 9.29 9.34 19.43 36.89 22.35 19.6 11.8 15.62 21.18 21.94 12.34 19.54 19.6 25.55 13.04 12.57
166.06 77.17 131.76 120.83 87.26 42.99 56.39 90.35 52.62 31.25 45.51 36.44 26.93 51.51 93.29 43.65 78.08 128.09 34.19 81.86 47.06 12.03 10.14 23.62 42.89 24.58 24.42 14.54 19.39 26.36 27.32 15.35 24.27 25.45 32.17 15.6 15.04
117.57 52.33 93.29 85.04 64.25 30.93 42.22 68 39.89 27.04 33.73 26.82 20.24 36.23 67.9 34.94 56.69 91.11 21.23 56.11 34.67 6.76 7.21 16.77 29.82 17.96 14.42 8.27 16.01 17.45 18.93 11.78 16.2 16.86 21.03 12.23 11.93
161.64 79.6 131.37 118.09 87.39 42.92 54.16 87.06 50.71 31.36 46.88 32.25 25.01 49.9 93.31 44.48 76.53 120.88 30.88 74.09 43.92 11.53 10.99 23.82 44.21 25.1 24.12 14.15 16.65 25.21 26.33 14.6 22.55 24.58 30.55 15.46 16.83
108.02 48.24 84.71 79.1 55.59 25.16 36.93 60.58 35.31 19.54 28.94 23.61 16.47 33.86 62.84 30.82 53.95 84.25 23.38 52.58 29.32 6.24 7.42 14.7 26.58 15.68 12.72 8.5 12.81 15.44 16.64 8.92 12.01 14.69 22.76 9.42 8.95
129.36 57.68 100.49 92.02 66.66 31.45 43.77 75.63 43.3 27.65 36.31 32.17 21.51 39.24 72.39 35.98 60.94 99.75 25.09 64.04 39.33 7.24 8.36 17.85 32.18 18.89 15.82 11.46 16.18 20.26 21.55 11.85 18.26 18.61 23.93 12.61 12.46
117.85 52.29 92.72 85.86 65.51 32.8 40.88 66.8 39.83 28.01 34.2 26.31 20.16 37.74 68.84 34.28 56.5 90.24 22.79 57.57 35.12 7.03 8.13 16.64 29.7 18.31 14.83 10.2 16.65 19.68 20.67 11.29 15.68 16.88 22.38 12.07 11.58
135.65 61.43 109.14 95.95 70.88 32.48 48.29 76.85 43.96 27.39 38.55 28.67 24.87 43.13 80.28 39.59 64.92 105.58 25.49 66.33 42.08 7.8 8.83 19.12 34.28 19.79 17.18 10.15 17.14 20.16 25.63 13.65 18.73 20.55 26.38 14.18 12.91
139.11 64.34 111.61 100.96 74.64 39.63 48.4 76.98 45.05 26.91 34.46 30.2 21.53 41.76 75.06 36.9 63.89 103.76 28.23 65.85 39.73 7.71 10.18 18.77 36.17 21.34 18.21 9.71 17.97 20.71 20.02 14.61 22.16 19.85 28.04 12.39 11.22
158.72 78.29 128.54 120.61 87.2 41.99 52.92 80.83 51.21 30.12 46.61 28.78 24.88 48.85 91.5 46.59 79.92 117.97 33.08 70.69 38.14 9.86 9.82 21.55 42.65 26.1 24.37 12.86 19.27 25.59 29.3 14.82 22.78 23.95 29.72 14.17 13.49
117.77 53.84 94.24 87.84 65.34 30.94 41.63 NA 41.32 NA 34.64 25.42 19.32 NA 70.75 37.93 NA NA 23.9 NA 31.69 6.7 8.12 16.93 30.49 NA 13.96 8.47 15.67 19.22 18.17 12.62 16.29 15.55 21.98 NA 6.94
110.02 48.82 86.51 80.14 61.19 28.46 38.02 NA 36.89 NA 31.64 26 18.03 NA 62.68 35.07 NA NA 20.55 NA 31.31 7.1 7.92 16.53 29.69 NA 14.14 8.97 13.88 20.44 17.03 10.61 16.69 15.39 20.72 NA 7.08
116.97 54.22 93.17 85.54 61.41 29.41 41.2 NA 39.63 NA 31.89 25.11 18.56 NA 67.81 33.72 NA NA 24.89 NA 32.31 6.46 7.33 14.93 28.26 NA 12.61 10.1 15.02 20.14 18.71 11.15 15.69 15.48 20.73 NA 7.09
127.26 58.33 103.81 93.22 69.01 29.31 47.37 NA 44.04 NA 36.64 26.11 20.94 NA 77.51 42.73 NA NA 24.91 NA 34.18 7.87 8.35 17.92 32.43 NA 15.06 8.58 16.47 19.01 18.29 11.62 16.98 15.15 20.56 NA 8.68
125.66 60.39 NA 92.31 69.13 34.37 44.72 NA 42.37 NA 35.44 25.16 22.34 NA 72.28 36.68 NA NA 23.58 NA 36.11 7.67 8.39 18.72 33.54 NA 15.94 9.13 15.46 20.36 20.44 11.12 16.68 16.84 22.34 NA 8.59
120 54.88 94.07 87.96 62.87 33.5 41.71 NA 42.27 NA 34.99 27.2 19.12 NA 67.77 33.79 NA NA 24.56 NA 33.24 7.11 7.87 16.86 30.3 NA 13.65 9.81 16.02 20.53 19.98 11.2 15.07 14.51 19.51 NA 8.41
118.08 54.29 93.32 87.43 63.73 28.55 40.3 NA 39.82 NA 33.81 25.68 20 NA 69.17 36.41 NA NA 25.56 NA 32.75 6.53 7.52 16.06 28.98 NA 13.74 8.96 15.24 19.07 18.16 11 15.55 15.83 21.07 NA 7.55
107.63 51.73 85.5 77.31 58.23 31.42 36.55 NA 35.93 NA 32.38 23.47 18.98 NA 58.72 28.39 NA NA 18.97 NA 32.32 6.59 7.51 15.65 29.04 NA 14.48 9.98 13.86 18.3 17.18 10.13 14.73 15.2 20.98 NA 7.53
110.62 51.89 87.96 79.98 57.77 26.24 38.13 NA 37.57 NA 31.02 24.39 19.44 NA 63.84 31.48 NA NA 22.73 NA 33.16 6.68 7.56 15.69 28.62 NA 13.63 9.77 14.69 19.73 16.94 11.36 16.55 14.27 18.95 NA 7.77
136.54 67.86 111.45 101.58 73.62 34.64 46.69 NA 46.19 NA 41.23 26.29 22.27 NA 78.92 41.4 NA NA 28.24 NA 38.23 9.2 9.93 20.02 38.06 NA 20.47 12.64 16.66 21.8 24.78 13.3 22.04 21.17 25.91 NA 9.22
137.32 64.65 112.21 104.66 78.49 40.98 49.14 NA 48.01 NA 37.65 26.43 23.95 NA 77.15 38.78 NA NA 26.42 NA 36.97 10.3 9.52 19.18 36.98 NA 19.58 14.44 19.49 21.43 23.3 14.26 20.3 19.59 25.56 NA 10.06
191.8 93.13 153.19 142.55 104.2 52.89 62.42 NA 65.56 NA 56.77 40.08 33.29 NA 107.63 53.52 NA NA 39.52 NA 54.18 14.63 12.51 28.51 53.89 NA 32.8 19.4 23.96 31.15 32.91 19.94 32.23 27.58 34.11 NA 15.3
170.1 78.72 138.37 128.15 97.14 45.46 61.28 NA 62.48 NA 51.22 32.37 29.99 NA 101.26 54.32 NA NA 31.57 NA 47.49 10.89 10.63 22.98 43.11 NA 23.72 15.22 22.02 28.26 28.29 18.03 28.14 23.13 32.04 NA 12.36
156.37 71.03 126.6 115.61 89.47 43.65 56.61 NA 54.52 NA 43.34 31.37 28.1 NA 88.93 47.92 NA NA 21.8 NA 45.06 11.36 9.94 22.35 42.49 NA 22.82 11.76 21.44 27.65 24.88 15.51 23.82 21.44 29.44 NA 11.62
181.03 82 144.71 133.7 99.32 48.67 64.46 NA 62.82 NA 52.92 39.24 31.76 NA 108.8 54.63 NA NA 36.84 NA 50.64 12.2 10.05 24.72 45.69 NA 22.86 13.7 22.29 26.88 27.44 14.98 23.59 22.38 31.31 NA 12.81
183.72 80.89 146.06 133.69 96 42.57 66.28 NA 64.71 NA 50.12 39.1 29.8 NA 108.87 53.13 NA NA 42.17 NA 53.54 10.7 11.81 23.12 44.59 NA 24.3 15.18 25.43 28.76 26.47 19.51 28.64 21.69 29.52 NA 12.28
175.63 85.64 142.13 130.27 98.16 51.36 57.78 NA 58.08 NA 50.53 36.05 30.59 NA 97.77 48.84 NA NA 33.25 NA 49.47 12.28 10.21 26.52 47.77 NA 26.17 13.73 22.93 29.59 27.4 15.91 24.53 24.06 30.72 NA 13.32
191.61 86.24 158.82 140.22 105.28 51.03 75.81 NA 68.99 NA 53.16 36.27 34.69 NA 114.07 58.18 NA NA 36.05 NA 55.57 13.03 11.82 24.64 48.38 NA 26.19 12.36 26.65 28.45 27.64 21.19 32.77 23.05 29.66 NA 12.96
157.88 74.33 129.41 119 91.27 43.07 56.07 NA 54.47 NA 45.43 30.65 29.22 NA 94.06 48.82 NA NA 29.7 NA 42.47 12.08 10.84 23.25 44.81 NA 24.67 14.88 22.65 26.7 25.45 16.29 24.76 22.23 29.67 NA 12.03
162.87 73.13 131.9 121.02 88.42 42.65 61.77 NA 58.4 NA 42.26 32.82 27.65 NA 96.97 47.7 NA NA 33.29 NA 44.6 10.14 10.65 20.76 41.22 NA 23.03 13.18 21.39 25.21 24.17 16.56 28.48 22.35 28.5 NA 10.49
134.45 63.16 108.42 99.58 71.68 34.17 47.32 NA 46.35 NA 34.06 27.87 23.74 NA 77.7 38 NA NA 28.83 NA 37.61 8.44 8.64 19.49 35.17 NA 17.13 9.66 16.64 23.66 21.55 12.83 18.42 17.23 21.94 NA 9.86
151.55 69.15 121.84 114.6 87.38 40.05 54.25 NA 54.66 NA 41.87 30.08 28.1 NA 89.79 49.08 NA NA 28.5 NA 42.42 11.26 9.71 20.64 40.98 NA 22.57 13.65 21.33 26.15 26.76 15.05 23.02 20.14 27.92 NA 11.18
180.06 81.82 146.48 134.24 103.5 49.91 66.81 NA 63.36 NA 55.24 36.85 31.65 NA 109.43 58.86 NA NA 32.46 NA 48.91 11.5 10.63 24.13 45.82 NA 23.71 11.56 23.47 28.72 30.15 18.36 25 21.59 29.59 NA 12.89
151.9 69.35 121.25 112.99 80.96 38.17 51.77 NA 53.85 NA 40.53 32.81 26.18 NA 87.32 44.77 NA NA 33.78 NA 42.5 9.72 9.02 20.02 38.09 NA 19.66 11.97 19.97 23.86 22.6 13.94 20.5 19.25 24.76 NA 10.59
155.27 72.83 126.14 117.66 86.51 38.94 54.16 NA 54.71 NA 48.77 31.23 27.47 NA 96.07 50.96 NA NA 31.13 NA 41.84 10.53 9.72 20.88 39.84 NA 21.13 11.38 20.96 24.53 26.77 14.53 22.25 21.2 26.05 NA 11.42
114 54.66 93.19 83.83 61.93 28.68 42.35 NA 39.33 NA 34.18 21.67 19.54 NA 66.86 33.62 NA NA 21.13 NA 33.66 7.28 7.55 13.99 27.82 NA 14.86 8.71 15.1 16.13 17.93 10.99 15.06 14.37 19.9 NA 7.8
159.18 74.12 127.97 121.09 89.77 44.29 55.44 NA 53.47 NA 41.67 30.48 26.3 NA 91.88 47.69 NA NA 32.55 NA 44.8 10.08 10.6 21.14 40.13 NA 21.85 13.83 19.89 24.9 27.21 16.25 26.82 21.64 29.48 NA 10.71
163.29 73.36 131.06 123.08 86.36 39.69 58.35 NA 59.06 NA 44.7 31.99 27.09 NA 96.12 47.09 NA NA 37.61 NA 45.33 9.9 11.02 22.09 41.78 NA 23.25 13.26 21.51 25.17 27.83 17.1 31.85 23.02 31.9 NA 11.3
113.65 54.49 90.58 85.57 64.42 30.36 37.7 NA 41.13 NA 31.6 23.53 19.13 NA 64.1 34.76 NA NA 22.02 NA 30.77 8.06 6.96 16.88 31.22 NA 14.2 7.95 16.3 18.23 19.12 10.37 16.77 16.38 21.4 NA 7.92
162.84 74.92 132.7 120.87 88.65 41.41 58.31 NA 51.93 NA 43.78 30.48 25.13 NA 96.73 50.41 NA NA 33.07 NA 45.82 10 11.37 20.91 41.33 NA 22.8 12.87 19.49 22.49 27 18.21 28.73 20.28 29.83 NA 11.18
168.29 77.14 135.8 124.58 93.97 47.77 58.72 NA 56.32 NA 45.11 34.14 30.98 NA 94.11 46.52 NA NA 31.1 NA 50.67 10.94 11.77 22.54 43.38 NA 23.53 13.75 22.61 26.35 26.6 19.48 28.34 20.91 30.12 NA 11.23
146.09 70.37 114.55 108.87 76.69 37.91 47.33 NA 52.15 NA 40.65 32.38 24.49 NA 80.33 39.86 NA NA 34.04 NA 41.54 9.1 9.1 21.64 37.59 NA 18.26 10.64 18.32 19.98 20.73 14.62 18.94 18.3 23.67 NA 10.03
149.26 69.24 122.87 109.44 80.02 42.69 55.64 NA 52.45 NA 39.15 27.24 25.61 NA 85.6 38.55 NA NA 28.11 NA 42.35 8.78 9.52 16.96 34 NA 18.52 12.06 21.43 23.05 21.44 16.23 20.31 17.7 24.76 NA 9.51
166.48 80.17 137.08 123.61 90.86 41.88 62.03 NA 61.69 NA 53.09 33.81 30.08 NA 101 50.78 NA NA 33.18 NA 43.96 11.09 10.5 24.56 45.2 NA 23.14 14.39 23.08 27.25 28.94 16.71 24.41 21.41 28 NA 12.9
120.64 58.65 97.91 86.93 64.02 30.57 42.89 NA 41.63 NA 34.8 24.78 21.57 NA 70.25 34.2 NA NA 22.34 NA 34.74 7.78 7.57 14.79 29.33 NA 15.09 11.9 15.17 18.64 18.67 12.16 16.6 15.87 22.11 NA 8.58
109.53 50.44 89.93 82.52 61.5 27.87 40.63 NA 36.95 NA 30.27 20.95 19.51 NA 64.47 33.68 NA NA 22.86 NA 30.93 7.22 7.72 14.86 28.44 NA 14.56 9.6 16.43 16.56 20.3 11.66 14.82 14.51 20.87 NA 8.06
110.84 51.85 89.53 82.52 63.13 30.62 38.99 NA 39.47 NA 33.31 23.01 19.32 NA 69.59 34.68 NA NA 20.4 NA 29.9 6.43 7.01 15.44 27.87 NA 12.9 8.71 15.94 17.71 17.87 10.02 15.55 14.76 18.21 NA 7.56
113.31 53.98 91.92 84.93 61.63 30.96 40.58 NA 39.56 NA 31.16 23.42 19.08 NA 65.11 31.48 NA NA 23.46 NA 30.53 7.47 6.98 16.1 29.31 NA 14.95 8.6 16 18.54 19.86 10.54 15.63 14.52 18.76 NA 8.18
156.02 72.07 125.85 115.19 87.38 41.43 56.44 NA 53.93 NA 44.06 33.02 27.55 NA 91.31 46.42 NA NA 28.17 NA 42.76 10.5 9.7 22.3 41.12 NA 20.27 11.84 19.49 23.65 25.86 13.98 20.03 19.2 25.2 NA 11.83
168.36 80.65 135.26 123.45 87.15 46.03 58.48 NA 60.45 NA 49.04 34.52 30.63 NA 94.77 43.8 NA NA 38.32 NA 48.42 11.08 9.8 23.7 42.61 NA 21.67 12.45 22.1 26.37 27.49 16.08 22.54 21.39 27.96 NA 11.92
121.93 59.63 99.72 92.19 68.54 31.27 41.71 64.77 40.56 24.06 35.3 23.71 18.92 37.69 71.04 37.03 63.1 92.47 24.58 56.41 31.57 7.81 7.78 17.06 32.71 19.83 16.48 8.56 16.04 21.4 24.2 12.03 20.21 18.55 25.28 11.27 8.7
143.92 71.03 114.29 104.38 78.16 38.73 45.32 76.8 45.69 29.51 42.98 31.16 24.53 42.71 78.09 39.37 65.75 107.1 26.31 67.47 41.92 10.19 10.74 23.08 41.91 24.41 23.12 13.2 19.87 22.13 24.38 13.84 22.62 23.31 29.93 15.11 16.08
135.66 63.61 109.72 102.26 79.2 40.29 45.21 73.14 44.93 31.3 38.1 28.48 21.34 40.94 74.18 39.14 62.45 39.81 25.2 57.23 35.87 9.92 8.59 20.12 39.49 23.8 20.35 12.7 17.75 22.29 26.16 11.6 19.79 20.26 25.48 13.35 11.27
125.44 61.6 101.2 94.59 70.89 34.06 40.56 64.68 39.74 25.51 35.49 25.41 18.72 37.94 69.78 38 62.3 94.64 23.12 56.95 33.43 8.52 9.16 17.39 34.62 20.1 18.31 10.64 14.79 16.53 22.12 12.44 18.48 17.69 24.74 11.73 8.26
135.62 64.86 108.01 99.11 74.2 35.2 45.63 75.52 45.75 30.84 39.57 29.76 23.42 41.1 76.99 40.29 64.92 102.73 24.53 63.57 39.16 7.85 10.1 18.89 35.97 21.64 118.96 10.38 18.2 21.24 23.06 13.3 22.67 21.09 28.9 13.74 14.01
107.45 51.48 85.32 77.19 59.93 31.71 36.83 59.42 36.24 25.63 28.33 23.06 18.61 32.25 56.85 27.87 45.43 76.42 17.67 49.19 31.75 7.12 8.16 16.58 30.18 18.24 14.12 8.61 15.94 18.87 21.25 11.12 16.25 16.34 21.13 11.26 9.63
129.08 61.2 104.15 96.11 72.94 34.89 43.74 67.89 41.67 26.78 34.71 25.19 20.46 38.37 74.68 39.6 63.69 97.94 25.17 59.42 34.03 7.07 8.36 17.61 34.73 20.66 17.86 10.96 16.89 22.39 24.26 12.29 19.24 19.13 26.69 13.26 8.69
116.73 54.86 93.47 84.98 64.22 31.34 40.92 65.48 38.69 26.11 34.79 25.03 19.14 34.77 67.34 34.62 56.43 88.8 20.83 54.43 33.49 7.13 8.73 17.47 31.98 18.42 15.79 9.73 15.81 20.19 21.43 10.79 15.73 18.5 24.35 11.63 11.22
98.79 44.97 79.64 71.23 53.94 25.99 36.33 55.23 32.29 21.92 25.82 20.6 16.73 30.98 57.33 28.94 48.02 75.41 18.31 46.54 27.95 5.63 6.35 13.49 25.35 14.93 12.12 7.39 13.02 16.21 18.18 9.77 12.44 13.55 19.65 9.67 6.19
118.8 54.78 95.14 88.26 67.32 31.52 41.24 66.21 40.04 27.4 35.19 25.04 18.95 36.02 69.15 38.46 59.34 92.23 22.14 55.11 33.02 6.9 8.29 16.79 31.61 19.48 14.63 9.98 15.95 18.14 19.89 10.57 15.65 16.17 21.41 11.59 10.81
130.33 62.47 106.17 97.36 74.61 34.96 45.78 70.5 43.46 29.36 38.08 25.91 20.57 38.23 74.08 38.28 64.13 97.5 25.83 58.92 32.83 9.33 8.6 19.36 37.89 20.43 19.15 11.08 17.09 21.77 23.24 11.31 17.57 20.13 26.27 12.36 9.06
107.64 49.4 85.88 77.25 59.56 31.63 38.21 61.39 36.05 25.35 30.6 22.96 18.95 34.32 60.44 29.45 48.26 79.67 18.76 51.23 32.22 6.62 7.58 15.87 29.24 18.13 14.41 8.74 15.5 17.78 18.31 11.33 14.86 16.36 22.76 11.68 10.85
129.6 60.01 102.46 94.91 70.14 35.38 44.25 72.84 43.39 26.09 35.26 28.06 18.92 39.89 71.87 35.38 61.2 96.24 25.62 61.81 36.44 7.26 9.5 18.91 34.33 20.38 17.05 10.8 16.03 19.51 18.77 11.58 18.36 18.77 23.33 11.72 10.22
127.2 63.59 99.89 93.99 71.83 37.98 39.02 66.3 39.55 26.79 37.09 27.59 19.02 35.18 67.35 35.17 57.66 92.06 22.32 57.71 34.01 9.11 9.58 19.6 37.81 21.1 20.24 13.97 16.09 20.26 22.8 11.48 20.63 20.35 26.91 12.34 9.12
123.34 61.69 100.39 91.79 66.7 32.29 40.65 64.88 38.65 24.17 34.95 24.17 18.7 36.6 68.15 31.92 56.3 89.54 24.09 57.03 32.7 7.42 8.4 18.35 35.37 21.32 18.65 11.48 17.08 22.11 22.34 12.06 21.07 20.76 26.69 12.65 9.24
137.73 65.46 109.35 100.05 73.38 37.43 45.43 73.84 43.31 25.52 37.19 27.79 20.83 42.18 75.7 34.83 65.37 102.13 27.64 65.14 39.06 9.09 9.89 18.85 36.8 22.82 18.92 11.75 16.79 21.66 23.88 13.55 20.92 18.63 25.54 12.43 8.98
117.08 52.12 94.99 87.18 66.81 32.8 41.39 66.02 39.62 24.92 30.86 24.48 17.62 33.93 63.93 33.33 54.44 86.03 20.81 52.35 31.78 6.61 8.08 15.69 30.96 18.25 13.33 8.6 16.51 18.73 21.49 9.91 16.67 16.02 21.68 11.65 7.25
137.51 67.84 110.12 101.38 72.42 37.33 44.53 74.64 46.78 28.26 37.84 30.38 24.86 42.91 75.47 34.95 63.98 101.98 29.46 66.85 39.46 8.32 10.61 20.59 37.56 21.76 19.21 12.13 19.19 23.76 23.4 15.14 25.47 22.2 27.75 14.75 13.77
140.65 65.33 110.63 105.5 75.57 40.41 47.15 78.18 47.32 29.91 37.77 31.31 23.99 43.17 76.57 34.98 64.7 104.32 29.13 69.17 40.68 8.06 10.76 21.45 38.64 22.4 19.45 12.24 20.06 23.65 23.14 14.29 21.75 21.31 27.99 14.74 12.26
124.87 59.32 102.44 91.42 71.75 35.05 43.24 69.77 41.06 26.94 36.61 25.14 19.49 35.43 70.61 38.94 61.85 94.75 21.69 56.58 34.29 8.25 8.31 18.65 35.56 21.08 18.7 10.75 17.82 19.18 22.73 12.35 18.08 19.01 25.32 11.4 8.17
124.98 63.2 100.3 92.77 67.89 34.35 39.96 NA 40.44 NA 35.08 26.22 17.81 NA 68.68 34.27 NA NA 25.18 NA 34.19 8.08 10.11 19.5 36.81 NA 18.44 9.83 16.58 23.04 22.8 10.98 18.73 18.42 22.45 NA 7.59
133.52 62.38 106.17 98.45 71.52 37.32 46.18 NA 45.22 NA 35.71 28.14 20.66 NA 71.3 34.97 NA NA 26.15 NA 37.76 9.66 9.65 19.8 37.47 NA 19.22 11.34 17.17 21.47 20.79 12.31 19.69 19.32 24.78 NA 8.94
132.66 63.18 105.5 97.65 72.83 36.09 44.92 NA 44.45 NA 37.97 28.58 21.7 NA 75.19 38.34 NA NA 24.99 NA 37.25 8.21 10.45 19.82 36.73 NA 18.01 10.23 16.59 20.41 20.02 12.47 18.91 17.24 23.16 NA 8.08
122.07 58.44 98.18 91.36 66.09 31.71 40.64 NA 42.21 NA 35.29 25.46 20.66 NA 69.82 35.76 NA NA 25.91 NA 33.36 7.97 9.89 18.18 34.03 NA 17.24 9.96 16.63 20.5 21.84 12.3 21.95 18.61 24.01 NA 7.77
129.89 62 103.69 96.33 68.78 33.64 42.29 NA 43.18 NA 35.61 27.9 20.22 NA 73.14 36.94 NA NA 27.22 NA 36.04 7.8 9 19.34 34.87 NA 15.98 9.34 16.33 18.87 18.5 12.9 19 17.93 22.46 NA 7.88
123.12 59.99 98.69 89.89 65.93 30.67 41.38 NA 40.25 NA 38.16 26.59 20.07 NA 71.49 37.24 NA NA 23.58 NA 34.97 7.41 8.95 19.16 34 NA 16.46 10.19 15.45 21.14 17.89 11.74 17.69 16.64 22.97 NA 7.97
137.28 70.35 110.27 103.62 75.57 41.04 42.9 NA 46.34 NA 40.52 28.97 23.74 NA 75.4 36.39 NA NA 29.77 NA 36.64 10.36 10.42 21.92 41.02 NA 22.49 11.23 18.11 23.94 22.87 12.73 22.13 22.43 28.58 NA 10.67
130.83 64.76 105.18 98.67 72.49 37.57 41.33 NA 43.47 NA 40.81 25.83 21.94 NA 73.9 37.24 NA NA 27.39 NA 34.77 8.9 9.7 20.4 37.57 NA 18.55 11.03 16.74 21.54 22.48 12.1 19 19.28 23.5 NA 8.82
141.16 67.75 110.96 106.63 76.69 35.93 45.2 NA 47.11 NA 42.17 29.84 23.12 NA 81.6 42.93 NA NA 31.63 NA 39.9 7.9 10.17 21.29 38.17 NA 19.39 11.13 18.03 22.1 19.74 13.97 20.62 18.43 25.56 NA 9.37
112.79 56.36 90.88 84.65 65.09 32.73 36.04 NA 37.88 NA 33.6 21.93 19.3 NA 62.18 32.98 NA NA 20.26 NA 31.18 8.3 9.27 18.46 34.7 NA 17.69 11.88 16.13 20.92 21.42 10.69 18.26 16.82 24.38 NA 8.03
167.66 76.47 133.99 120 87.41 41.74 60.79 95.85 57.97 40.01 47.69 37.13 28.7 54.4 96.9 46.97 79.25 127.53 31.11 79.84 47.43 11.01 8.9 22.35 41.96 25.13 23.57 16.07 21.39 24.03 30.19 15.33 21.26 24.31 30.63 17.59 13.78
151.6 70.62 121.05 111.34 83.02 36.65 51.43 84.51 50.3 33.26 46.74 33.99 26.71 46.71 88.69 46.31 76.63 119.01 28.53 72.15 43.36 9.93 8.26 20.28 37.58 23.79 19.04 11 18.37 22.15 25.15 14.92 22.34 20.87 27.46 17.66 12.43
162.72 72.14 126.85 115.76 85.46 42.8 56.43 93.11 53.02 35.41 44.44 37.45 27.46 52.65 92.6 44.48 77.06 154.53 32.19 81.31 49.06 9.72 8.4 21.7 40.26 24.35 18.43 14.35 21.04 22.97 29.16 14.78 20.32 22.54 28.62 19.09 12.76
161.52 71.2 132.33 116.58 83.59 40.61 64.19 95.98 58.28 38.64 48.25 32.84 31.43 56.67 102.13 46.72 78.89 126.9 33.35 80.55 48.9 9.35 8.68 22.57 39.32 24.92 18.88 12.38 24.51 24.13 29.85 16.3 21.35 23.64 30.68 17.23 14.58
144.55 68.75 119.41 107.18 77.35 37.58 53.05 81.26 50.56 33.71 44.58 29.26 26.23 48.25 87.23 42.14 71.45 110.81 30.07 68.88 39.82 9.68 8.08 20.02 36.89 21.29 19.14 11.42 18.07 21.76 30.96 12.87 20.5 22.32 29.2 14.34 12.73
226.75 112.16 180.01 170.17 126.13 63.41 72.36 120.97 79.72 59.39 72.24 50.63 41.61 71.53 127.56 63.26 108.28 167.47 47.01 106.23 61.9 17.58 10.45 37.32 65.56 35.67 34.66 23.16 28.89 32.05 42.74 20.65 33.26 32.62 42.27 27.4 21.99
135.39 60.64 110.1 98.87 75.21 37.98 50.54 77.1 47.63 33.82 40.71 27.3 25.66 44.94 81.56 41.66 64.31 103.76 23.31 63.5 39.83 8.79 9.7 19.85 35.96 22.46 18.03 11.72 18.22 21.41 26.49 11.63 18.79 21.74 27.73 14.1 12.81
155.14 73.53 125.25 111.86 82.29 42.42 54.74 88.29 53.08 34.99 45.54 33.8 28.25 51.31 89.34 40.79 72.54 118.16 31.89 77.55 46.57 10.44 9.08 21.51 38.96 23.31 20.15 11.87 18.92 24.03 29.83 14.63 21.7 23.51 30.26 15.93 14.57
177.15 78.01 138.86 128.23 95.5 45.94 62.83 102.06 60.62 38.69 47.31 40.11 30.69 56.37 101.33 49.94 86.63 138.55 35.43 88.22 53.09 11.17 8.87 23.06 42.38 26.1 20.75 14.26 22.91 25.78 28.18 16.76 21.87 23.69 30.04 19.66 14.82
