"V1" "V2" "V3"
"D74" 473 209
"D74" 479 218
"D74" 488 209
"D74" 490 213
"D74" 496 218
"D74" 494 226
"D74" 486 235
"D74" 484 245
"D74" 477 247
"D74" 464 241
"D74" 467 235
"D74" 462 229
"D74" 458 229
"D74" 451 227
"D74" 448 219
"D74" 452 213
"D74" 458 206
"D75" 305 382
"D75" 305 377
"D75" 311 375
"D75" 314 380
"D75" 310 383
"D76" 227 410
"D76" 226 412
"D76" 229 421
"D76" 243 431
"D76" 260 433
"D76" 269 437
"D76" 275 444
"D76" 286 434
"D76" 289 427
"D76" 286 414
"D76" 274 407
"D76" 268 402
"D76" 259 398
"D76" 247 405
"D76" 238 408
"D76" 231 412
"D77" 350 350
"D77" 338 349
"D77" 334 340
"D77" 328 338
"D77" 315 335
"D77" 313 342
"D77" 316 349
"D77" 314 352
"D77" 318 362
"D77" 322 371
"D77" 320 376
"D77" 321 383
"D77" 318 390
"D77" 327 387
"D77" 339 387
"D77" 344 384
"D77" 353 377
"D77" 355 365
"D78" 276 377
"D78" 284 372
"D78" 283 369
"D78" 286 356
"D78" 295 352
"D78" 296 363
"D78" 301 371
"D78" 297 377
"D78" 301 384
"D78" 278 386
"D78" 278 386
"D79" 208 222
"D79" 217 213
"D79" 219 217
"D79" 228 220
"D79" 223 227
"D79" 222 234
"D79" 218 240
"D79" 220 248
"D79" 220 266
"D79" 216 275
"D79" 206 279
"D79" 192 274
"D79" 182 277
"D79" 190 264
"D79" 195 257
"D79" 195 247
"D79" 198 237
"D79" 182 236
"D79" 195 223
"D80" 287 448
"D80" 280 450
"D80" 275 444
"D80" 286 434
"D80" 289 427
"D80" 301 425
"D80" 313 419
"D80" 320 415
"D80" 326 419
"D80" 337 423
"D80" 335 434
"D80" 339 438
"D80" 336 443
"D80" 329 443
"D80" 323 445
"D80" 314 447
"D80" 313 453
"D80" 304 453
"D80" 296 456
"D80" 291 459
"D80" 287 460
"D80" 280 454
"D81" 286 86
"D81" 293 79
"D81" 297 76
"D81" 301 70
"D81" 310 70
"D81" 320 69
"D81" 327 72
"D81" 325 81
"D81" 333 82
"D81" 335 87
"D81" 325 88
"D81" 320 100
"D81" 312 111
"D81" 297 112
"D81" 289 109
"D81" 286 102
"D81" 281 97
"D81" 284 90
"D82" 274 90
"D82" 273 96
"D82" 281 97
"D82" 286 102
"D82" 289 109
"D82" 297 112
"D82" 295 121
"D82" 293 130
"D82" 285 120
"D82" 273 114
"D82" 263 121
"D82" 259 119
"D82" 254 113
"D82" 247 104
"D82" 253 105
"D82" 249 99
"D82" 254 97
"D82" 266 93
"D83" 471 55
"D83" 479 57
"D83" 485 63
"D83" 495 71
"D83" 496 79
"D83" 494 88
"D83" 492 93
"D83" 488 94
"D83" 485 97
"D83" 474 96
"D83" 469 91
"D83" 462 93
"D83" 454 90
"D83" 453 76
"D83" 452 68
"D83" 451 62
"D83" 458 57
"D84" 432 93
"D84" 443 89
"D84" 454 90
"D84" 447 98
"D84" 442 105
"D84" 442 114
"D84" 438 115
"D84" 427 122
"D84" 420 121
"D84" 419 128
"D84" 411 129
"D84" 412 125
"D84" 411 117
"D84" 412 109
"D84" 412 101
"D84" 405 91
"D84" 423 97
"D85" 195 257
"D85" 195 247
"D85" 198 237
"D85" 182 236
"D85" 177 235
"D85" 166 235
"D85" 161 240
"D85" 150 245
"D85" 148 254
"D85" 143 260
"D85" 137 266
"D85" 139 270
"D85" 144 276
"D85" 153 268
"D85" 160 267
"D85" 161 276
"D85" 164 269
"D85" 168 271
"D85" 167 275
"D85" 175 279
"D85" 177 274
"D85" 182 277
"D85" 190 264
"D86" 245 220
"D86" 252 220
"D86" 253 227
"D86" 259 232
"D86" 266 240
"D86" 261 246
"D86" 257 254
"D86" 250 261
"D86" 245 272
"D86" 242 268
"D86" 229 276
"D86" 222 280
"D86" 216 275
"D86" 220 266
"D86" 220 248
"D86" 218 240
"D86" 222 234
"D86" 223 227
"D86" 228 220
"D86" 238 219
"D87" 276 190
"D87" 270 184
"D87" 262 186
"D87" 263 193
"D87" 258 194
"D87" 249 195
"D87" 244 198
"D87" 248 205
"D87" 253 209
"D87" 257 213
"D87" 252 218
"D87" 252 220
"D87" 253 227
"D87" 259 232
"D87" 266 240
"D87" 274 236
"D87" 274 226
"D87" 280 213
"D87" 282 208
"D87" 290 208
"D87" 294 199
"D87" 286 194
"D88" 457 328
"D88" 467 327
"D88" 475 329
"D88" 479 324
"D88" 484 332
"D88" 489 341
"D88" 494 354
"D88" 490 353
"D88" 489 361
"D88" 471 360
"D88" 464 355
"D88" 450 350
"D88" 444 354
"D88" 438 358
"D88" 435 356
"D88" 427 353
"D88" 431 350
"D88" 437 345
"D88" 435 337
"D88" 440 331
"D88" 446 330
"D88" 452 333
"D89" 356 302
"D89" 350 299
"D89" 339 306
"D89" 334 306
"D89" 329 314
"D89" 333 317
"D89" 337 323
"D89" 337 333
"D89" 334 340
"D89" 338 349
"D89" 350 350
"D89" 355 347
"D89" 357 338
"D89" 365 333
"D89" 370 324
"D89" 379 324
"D89" 385 317
"D89" 381 307
"D89" 378 295
"D89" 368 295
"D90" 481 309
"D90" 482 316
"D90" 479 324
"D90" 491 318
"D90" 490 313
"D90" 494 310
"D90" 498 304
"D90" 488 306
"D91" 296 363
"D91" 295 352
"D91" 297 349
"D91" 302 345
"D91" 313 342
"D91" 316 349
"D91" 314 352
"D91" 318 362
"D91" 322 371
"D91" 314 370
"D91" 310 371
"D91" 306 370
"D91" 301 371
"D92" 301 384
"D92" 297 377
"D92" 301 371
"D92" 306 370
"D92" 310 371
"D92" 311 375
"D92" 305 377
"D92" 305 382
"D92" 310 383
"D92" 311 385
"D93" 311 385
"D93" 310 383
"D93" 314 380
"D93" 320 376
"D93" 321 383
"D93" 318 390
"D94" 320 376
"D94" 322 371
"D94" 314 370
"D94" 310 371
"D94" 311 375
"D94" 314 380
"D95" 307 395
"D95" 318 390
"D95" 311 385
"D95" 301 384
"D95" 278 386
"D95" 286 395
"D95" 302 395
