"Arg" "Leu" "Ser" "Thr" "Pro" "Ala" "Gly" "Val" "Lys" "Asn" "Gln" "His" "Glu" "Asp" "Tyr" "Cys" "Phe" "Ile" "Met" "Trp"
51 82 53 48 38 69 66 66 61 35 33 24 75 63 30 13 36 56 18 23
32 107 51 41 31 57 44 57 91 41 32 32 87 50 32 17 48 40 15 15
58 86 31 36 57 73 50 58 47 22 21 17 73 40 42 10 38 27 10 25
84 97 63 47 48 102 54 97 45 28 37 24 69 74 46 32 43 56 18 27
38 48 16 27 19 40 35 28 24 21 18 12 46 38 14 1 29 31 17 2
41 45 17 29 19 41 33 28 20 20 21 11 46 36 15 1 31 31 17 2
25 58 19 19 19 27 29 27 45 25 10 9 54 31 16 4 35 35 13 1
32 61 22 41 23 40 36 29 24 12 25 14 46 26 16 1 20 29 10 3
41 71 12 17 37 34 32 31 27 11 13 14 50 28 20 1 26 14 7 6
33 65 30 51 41 80 50 67 63 37 39 15 64 54 35 9 35 41 30 22
31 74 37 34 37 63 38 35 72 47 30 23 69 33 35 12 40 61 18 17
41 77 31 53 56 74 52 64 51 28 48 14 58 61 31 6 33 50 19 22
65 67 38 53 58 94 52 78 36 29 31 22 53 42 38 22 32 22 23 23
19 69 35 37 28 25 34 25 88 72 26 6 57 35 24 12 38 79 12 13
33 57 41 28 32 59 46 42 40 29 28 16 44 45 24 8 37 36 20 11
28 59 36 30 27 71 38 33 54 30 20 16 55 41 22 10 43 41 19 9
65 76 38 53 41 88 59 63 26 20 36 22 52 40 24 20 34 21 17 16
34 36 24 23 19 41 32 47 19 20 13 8 37 31 16 4 28 17 9 7
31 36 27 24 18 37 30 43 24 20 14 9 40 31 17 4 30 26 10 6
50 46 12 13 30 35 32 31 10 3 13 15 51 22 14 1 27 17 10 6
27 68 31 30 27 35 41 32 38 25 24 10 51 27 22 16 28 34 8 7
40 46 29 27 29 36 31 34 33 31 11 15 56 34 24 9 25 31 10 6
11 60 39 25 13 26 28 27 78 48 14 11 47 26 25 4 18 74 13 4
32 59 16 29 19 66 39 41 33 19 27 14 48 36 23 4 19 26 22 5
21 62 27 37 14 52 36 32 47 31 27 12 39 36 22 4 20 35 18 5
28 46 19 15 21 35 26 28 24 18 31 10 37 23 12 5 20 13 8 4
23 51 11 27 18 43 30 26 26 20 18 10 35 27 11 5 12 18 15 3
40 58 14 13 28 46 28 27 18 9 16 8 47 15 15 2 12 10 9 6
37 49 23 14 16 39 31 30 16 13 16 13 35 20 15 12 18 17 9 3
43 53 30 24 23 41 43 41 40 25 23 23 57 43 24 13 25 37 23 11
26 66 29 19 22 42 39 30 58 18 21 20 59 37 23 5 36 44 14 4
36 59 27 29 34 50 35 36 37 10 33 12 58 34 19 2 27 40 14 11
61 79 32 53 42 78 66 61 53 40 36 17 80 65 26 8 35 63 32 24
51 84 40 49 39 87 54 60 62 47 38 18 88 55 28 5 42 59 24 24
72 101 29 36 54 87 52 55 48 18 20 15 96 40 25 9 31 24 18 24
17 36 23 13 16 18 18 22 36 22 3 8 23 22 15 1 18 31 10 1
15 32 17 16 13 32 16 29 25 16 15 6 20 24 13 4 12 19 8 2
18 45 17 21 20 35 19 21 25 15 22 11 23 23 9 7 12 20 8 6
35 44 11 18 18 42 20 25 10 9 12 10 24 16 9 4 12 11 7 0
19 44 19 19 18 28 31 27 36 23 16 5 31 24 9 0 16 21 11 3
18 44 18 18 11 24 29 23 35 20 19 5 34 23 17 3 17 31 11 2
19 52 20 21 20 30 32 21 26 18 24 8 26 27 9 2 17 21 8 3
16 32 13 8 19 24 10 15 1 9 18 8 19 13 10 3 7 11 6 9
12 25 35 11 1 8 10 15 24 21 4 1 16 15 12 4 19 30 9 4
31 35 15 15 16 41 23 27 6 2 13 7 18 10 7 0 10 13 6 0
20 22 16 15 11 27 17 22 8 1 9 3 12 12 5 1 14 8 3 2
10 9 12 12 12 8 16 22 10 16 0 8 14 9 9 2 8 17 7 2
15 29 25 21 16 55 45 26 21 12 20 7 19 22 3 4 10 24 16 4
19 29 19 19 16 64 41 32 17 14 16 6 23 19 4 4 8 23 13 5
19 28 16 17 13 66 47 29 19 15 15 6 24 18 4 5 9 22 16 5
16 29 20 26 18 58 43 30 18 10 20 5 19 21 2 6 10 23 16 4
18 26 20 18 14 64 49 27 18 14 14 6 20 20 3 5 10 24 16 5
34 49 26 29 29 39 39 28 18 29 29 19 33 37 24 5 24 21 16 23
7 8 13 4 3 10 4 12 10 6 4 1 17 5 4 1 6 7 5 0
7 10 11 2 3 11 4 10 11 8 4 1 17 5 4 1 6 7 5 0
16 29 13 25 9 32 35 18 12 18 10 10 22 18 9 4 10 22 7 1
21 30 20 12 20 36 28 24 13 13 11 10 23 28 10 4 18 26 10 7
23 48 20 13 10 35 20 19 19 15 19 10 30 22 13 1 17 28 11 4
23 43 21 15 18 51 30 30 13 17 15 6 26 19 15 5 17 17 11 5
26 44 15 26 17 47 39 19 15 11 12 7 28 21 8 5 15 21 15 3
13 28 10 14 14 13 18 13 12 11 16 11 13 21 9 5 13 16 7 7
17 27 7 18 12 20 19 17 17 17 11 8 17 19 11 5 13 16 6 6
14 32 11 11 13 8 11 6 7 1 6 1 14 6 4 2 5 6 2 4
15 32 10 11 13 25 21 12 13 10 7 6 16 15 4 4 5 12 8 8
10 20 7 7 8 14 12 14 3 3 5 15 10 11 4 2 5 4 4 0
3 17 12 7 4 10 7 15 8 5 4 7 9 12 6 1 1 9 5 1
52 74 30 34 34 50 42 46 31 21 32 11 67 40 23 1 23 42 20 0
43 64 38 31 24 48 47 44 40 18 34 15 36 33 22 7 24 29 11 2
61 77 41 60 37 62 32 28 34 18 24 37 38 33 21 14 22 39 9 4
28 30 14 12 8 23 14 27 11 4 4 3 19 20 4 1 11 16 3 1
27 32 20 11 8 23 12 28 12 7 5 5 17 21 3 1 13 17 4 1
16 36 19 23 11 14 16 13 21 13 13 7 17 8 10 6 19 30 5 0
16 36 19 23 11 14 16 13 21 13 13 7 16 9 10 6 19 30 5 0
24 41 15 27 22 28 21 31 15 15 14 13 26 21 9 4 12 24 10 4
10 11 7 6 9 11 13 16 7 1 5 4 8 13 4 1 4 13 5 4
21 40 12 25 16 35 34 22 38 15 8 11 40 32 19 3 35 25 8 5
33 43 9 13 22 46 30 24 17 9 9 9 37 26 16 1 22 7 8 6
24 38 23 8 14 20 22 16 15 17 10 14 24 14 12 10 14 19 5 2
25 38 23 8 14 20 22 16 15 17 10 14 25 14 12 8 14 19 5 2
25 41 31 17 18 13 19 17 13 15 7 11 26 16 14 11 15 13 6 3
51 78 33 44 41 55 55 61 38 13 27 16 45 30 22 4 36 39 23 8
38 102 62 67 45 105 89 97 43 39 48 11 50 47 27 2 54 72 42 9
32 114 64 58 46 108 83 101 41 46 53 9 44 44 27 3 52 62 40 7
49 83 37 48 38 69 53 51 25 26 25 16 33 36 23 9 40 55 22 16
18 45 27 17 23 29 30 25 18 12 12 19 21 16 17 0 17 23 16 16
18 47 9 18 9 29 21 26 8 4 9 13 10 7 10 2 16 12 7 9
15 59 28 15 17 29 25 35 13 10 19 7 10 4 16 1 24 37 13 11
16 55 30 24 20 54 49 49 17 12 13 10 18 10 16 4 34 36 20 12
18 58 27 25 19 58 48 48 16 13 14 10 17 7 16 4 33 35 19 12
5 26 12 11 9 34 35 22 5 4 3 5 7 3 5 2 18 17 3 5
24 60 31 33 11 50 39 36 15 16 10 3 20 9 10 5 27 35 28 10
11 54 24 18 16 53 41 46 15 18 15 7 16 5 15 4 29 38 20 12
36 109 45 50 42 107 75 70 35 26 41 18 55 42 17 7 29 58 31 12
50 124 41 56 41 103 76 90 21 23 53 16 52 46 16 9 20 54 25 10
35 76 39 50 31 77 63 59 29 25 23 4 29 39 9 2 22 58 18 2
43 108 51 57 43 83 52 73 35 30 40 20 51 45 14 10 36 61 29 17
50 112 45 54 42 87 56 78 34 34 38 18 45 47 15 10 35 57 28 17
4 39 15 10 14 22 16 22 10 10 6 8 16 5 9 0 22 15 4 4
6 34 7 7 11 22 14 23 9 9 2 6 10 0 10 0 20 19 7 0
6 25 15 8 10 18 15 20 6 5 4 6 8 5 8 0 30 22 12 3
5 33 16 17 20 20 24 21 13 8 4 2 11 7 11 0 34 24 16 3
8 46 18 13 16 23 17 18 6 9 7 5 15 5 9 0 19 16 6 5
40 119 44 45 46 119 59 59 7 14 57 15 27 36 7 14 17 36 11 18
21 45 24 16 21 38 28 46 9 13 17 7 19 11 22 0 39 24 7 13
32 86 49 41 27 56 54 47 17 21 22 11 28 24 30 3 46 41 25 17
15 72 26 24 21 53 50 54 6 5 12 2 6 13 11 3 26 27 7 4
15 61 28 27 20 58 38 44 6 10 10 7 5 12 12 5 24 36 12 9
8 45 34 28 16 59 45 37 12 19 6 7 7 9 13 8 22 38 20 11
16 58 29 32 24 40 39 40 17 16 8 3 17 11 18 11 37 47 18 23
19 42 12 14 10 17 13 11 3 3 10 3 5 4 6 3 12 19 9 10
11 50 13 8 9 41 34 26 8 2 7 2 6 5 8 0 11 13 5 12
12 52 30 20 12 48 46 37 19 14 6 4 15 12 16 6 25 50 18 4
11 83 71 24 21 59 44 62 67 43 22 11 45 29 18 9 36 61 22 7
12 83 69 23 21 59 44 63 66 46 21 11 48 27 17 9 34 63 22 7
9 60 26 27 13 52 50 42 8 21 6 5 3 10 9 2 25 27 15 9
18 97 51 32 26 75 54 71 47 28 33 12 41 26 13 8 34 42 21 3
11 53 31 29 32 55 55 36 6 16 1 24 18 15 23 1 45 44 27 16
15 58 26 27 18 62 50 55 15 16 11 13 11 13 25 0 32 33 27 25
13 67 29 36 35 45 46 40 14 18 11 16 14 18 21 4 38 44 22 21
14 64 36 36 33 45 45 36 11 15 9 16 20 16 16 4 49 42 27 17
22 112 39 45 39 77 68 61 21 24 19 25 21 16 39 0 70 35 24 34
8 28 13 12 20 39 16 34 11 9 12 6 14 16 10 4 12 19 8 7
12 22 16 24 18 33 25 29 5 5 15 7 22 8 10 3 13 22 5 8
4 26 5 14 13 24 29 30 7 5 6 11 9 8 10 2 25 22 9 14
36 65 28 21 24 37 28 24 16 19 25 6 34 25 7 0 14 24 14 10
11 51 31 14 13 29 33 31 16 14 10 7 10 11 17 7 49 38 13 10
22 33 31 21 18 35 35 46 14 21 23 4 15 14 8 2 15 21 11 2
50 80 49 40 14 51 51 44 19 25 21 15 39 28 17 13 33 70 30 9
66 97 37 29 26 85 55 69 9 17 32 18 35 28 12 12 29 35 14 7
15 14 17 12 8 28 20 23 4 4 7 9 8 6 11 0 20 16 13 9
17 15 14 10 10 25 18 24 4 4 9 12 10 8 9 1 19 16 11 8
18 15 13 14 8 24 20 22 6 6 7 10 15 9 12 0 20 22 12 9
4 14 10 9 12 25 24 8 17 9 1 3 13 6 2 3 11 8 4 1
20 61 31 29 18 56 40 36 21 13 20 6 27 16 18 3 40 32 22 13
17 45 16 26 14 37 29 38 6 16 7 4 10 13 14 3 24 25 19 16
5 24 11 17 3 18 20 15 4 5 2 11 5 6 6 3 17 15 11 6
9 34 21 10 10 32 27 33 13 7 4 4 2 10 17 3 16 25 12 7
16 45 39 37 14 56 53 41 28 17 11 9 25 20 21 2 38 42 19 9
10 61 15 12 19 48 29 19 13 6 11 5 10 8 6 3 14 24 13 1
8 80 20 15 22 61 44 34 17 15 13 6 13 9 7 3 16 29 20 1
5 13 1 2 9 14 5 6 2 2 0 4 2 3 0 1 6 4 4 0
10 52 26 22 11 44 42 43 21 11 13 6 12 14 9 4 25 47 15 1
10 57 23 25 17 64 41 41 17 9 10 5 17 12 12 2 23 40 15 1
50 73 36 35 23 73 52 50 20 16 28 9 41 32 9 0 18 36 13 8
60 79 30 30 37 105 56 54 10 11 25 10 39 30 7 2 17 27 21 7
6 61 37 20 20 51 30 46 22 11 8 9 10 12 13 6 26 40 12 3
6 55 24 27 21 57 37 45 17 8 11 6 6 12 9 6 24 44 16 2
53 60 42 48 41 78 78 60 36 22 28 11 40 49 17 6 25 37 25 17
29 71 38 52 67 74 75 56 32 39 26 10 33 41 25 7 32 41 24 24
6 15 10 7 3 10 10 15 5 2 3 3 5 2 2 0 9 13 6 3
6 19 8 7 4 17 10 13 1 2 3 5 2 3 4 1 6 10 3 6
3 16 11 7 3 4 5 10 7 5 3 4 1 2 7 7 5 15 3 6
3 16 5 7 1 11 8 19 2 2 2 2 2 2 6 0 9 10 4 4
49 80 23 30 40 104 61 46 5 9 19 10 33 26 5 3 15 20 11 7
20 45 12 19 17 25 31 36 6 6 8 9 10 14 6 1 13 32 20 9
9 28 5 6 10 18 10 14 6 1 9 2 6 5 6 6 13 8 7 7
15 71 21 35 28 54 41 37 13 11 35 7 14 15 13 7 25 23 13 10
34 52 26 24 23 39 33 34 12 16 20 9 34 15 12 1 15 28 15 8
34 50 27 24 21 38 32 35 13 16 21 10 33 15 11 2 15 29 16 8
5 23 7 10 2 12 11 8 8 5 5 4 10 3 6 0 4 18 7 2
5 24 9 6 3 9 12 13 7 5 5 4 4 7 7 0 6 16 7 1
2 24 9 9 2 11 12 11 9 5 5 5 7 7 5 1 7 15 4 2
15 28 23 21 20 65 23 29 13 8 6 5 16 12 3 0 7 19 11 5
8 44 10 18 8 27 17 15 7 7 13 8 11 5 3 1 6 8 8 4
12 18 23 18 8 43 20 18 6 5 8 5 11 10 2 0 17 16 8 5
19 45 17 14 15 43 33 35 3 4 1 5 11 7 6 2 22 18 10 7
16 31 39 32 16 49 45 19 14 33 22 5 13 25 23 0 25 21 8 12
10 17 13 13 15 26 25 21 20 11 9 11 21 19 10 17 7 19 6 4
14 15 7 10 8 21 10 21 10 7 3 8 7 4 6 2 18 22 8 10
34 99 53 41 29 74 59 60 22 30 27 12 32 33 23 12 38 57 29 9
19 59 21 20 10 45 29 31 4 6 8 1 6 7 3 5 8 23 16 9
58 80 62 41 28 112 59 65 15 20 11 14 38 42 9 10 26 47 17 7
58 74 57 37 32 116 72 66 11 16 14 19 40 33 13 9 21 46 15 8
44 61 32 33 19 61 42 37 9 9 21 10 29 28 5 2 14 30 16 2
47 47 38 30 18 47 46 28 9 13 24 13 37 34 5 0 20 31 12 6
16 57 28 29 26 62 46 45 14 14 10 15 16 9 32 2 37 44 24 25
17 59 35 23 26 64 45 46 13 16 10 14 15 9 26 4 40 39 22 26
36 103 28 36 33 69 62 61 18 21 35 11 38 29 5 0 27 46 27 7
39 97 28 38 32 73 59 62 12 22 44 11 32 29 7 0 28 46 27 6
9 42 15 15 21 21 15 16 5 3 13 0 8 5 4 0 18 20 12 3
6 58 16 14 16 27 14 13 3 10 7 4 7 5 1 1 20 22 12 5
4 18 4 3 8 10 12 12 3 2 1 5 2 3 2 1 8 11 6 4
4 12 6 3 7 12 10 7 2 3 3 5 2 3 2 1 9 19 5 4
33 45 33 39 26 53 52 57 41 28 24 9 45 41 13 2 28 35 26 5
31 71 24 29 31 73 54 49 40 21 28 6 52 32 11 1 26 34 10 5
43 51 32 27 36 59 58 50 37 26 22 9 50 37 10 2 25 40 25 5
50 57 36 31 24 60 46 49 29 12 20 10 55 32 16 3 30 39 9 1
16 55 36 22 18 56 53 40 14 9 15 6 11 12 7 7 33 35 16 12
15 29 9 10 8 23 18 17 4 5 5 2 9 4 4 0 13 30 7 7
8 35 18 12 19 45 31 19 4 4 6 3 10 4 8 4 18 20 7 4
12 57 35 24 14 41 33 49 18 8 10 8 14 14 11 1 23 46 13 6
11 65 18 24 15 47 41 39 12 11 5 6 11 9 7 4 24 28 20 4
26 51 33 27 18 43 47 32 16 10 10 8 12 18 15 6 26 35 12 11
10 44 18 8 12 36 38 21 3 3 6 9 12 5 1 0 10 5 9 4
12 33 14 19 9 24 13 15 7 6 4 5 9 3 14 3 16 23 4 5
38 95 47 31 20 49 42 54 32 34 43 17 31 32 19 3 32 66 14 9
38 86 40 32 21 51 42 49 35 35 35 19 32 33 22 2 35 80 11 9
19 72 23 13 13 36 35 22 1 10 13 6 4 7 4 5 9 25 9 8
44 85 37 30 27 78 47 61 15 15 30 12 34 27 11 2 18 43 24 5
2 25 7 11 7 34 26 24 5 2 1 9 4 2 2 1 7 14 6 2
9 29 8 19 8 12 3 8 10 11 1 1 3 6 11 4 12 18 5 0
4 25 9 15 8 8 6 12 12 9 3 2 3 3 14 3 11 20 7 1
11 77 53 44 7 68 29 30 51 36 36 4 35 26 4 1 14 42 11 1
11 76 53 45 8 69 28 30 50 35 37 4 36 24 4 1 15 42 11 1
14 39 29 25 21 45 46 41 13 7 7 5 14 9 4 5 21 29 19 5
38 97 35 21 15 59 52 53 15 8 27 12 37 22 10 2 35 28 27 8
38 95 32 26 20 70 52 45 17 11 21 11 44 21 8 4 30 42 26 7
21 56 34 27 9 51 40 34 13 7 13 5 14 7 16 7 29 21 19 9
13 39 22 23 13 23 17 23 8 13 6 0 5 7 15 1 22 27 13 8
11 35 18 22 11 25 13 25 8 8 10 1 5 6 10 0 23 22 15 5
12 54 29 19 12 35 36 29 12 16 11 4 11 6 14 8 56 33 14 6
11 36 12 12 13 30 25 13 11 8 14 6 21 7 8 4 12 26 13 3
14 22 29 27 8 47 51 25 28 29 18 5 22 33 19 2 22 14 13 17
16 27 38 28 9 35 46 21 20 23 21 6 21 32 21 2 16 15 13 19
17 25 31 31 8 39 48 22 23 27 24 5 21 34 23 2 15 23 14 20
38 95 47 29 24 49 56 64 25 18 38 6 52 28 22 3 24 59 23 4
38 94 47 28 24 50 56 63 25 19 38 6 53 27 22 3 23 61 23 4
18 32 15 8 19 16 31 22 3 9 12 5 8 8 13 0 28 24 12 8
11 33 24 14 6 37 32 25 5 8 7 1 10 5 14 2 16 35 19 4
21 69 21 20 17 43 44 36 13 9 11 2 13 11 10 2 34 25 17 7
20 65 23 20 17 41 43 37 13 8 12 3 13 11 10 2 35 26 19 7
10 69 39 35 26 71 45 45 18 10 17 4 8 14 15 5 43 47 14 16
5 22 13 5 2 18 15 13 6 7 3 3 2 8 5 3 13 13 3 6
7 23 9 6 3 19 14 18 5 6 5 4 3 11 4 0 12 10 4 7
17 52 28 29 19 49 53 33 14 16 11 5 14 12 22 3 35 46 15 15
16 68 28 35 21 42 46 33 23 23 21 2 14 22 25 3 33 33 16 10
30 45 43 30 7 78 35 46 18 29 39 5 41 26 9 0 13 35 17 5
32 50 50 36 12 78 27 41 18 24 39 8 33 28 12 0 12 31 18 4
27 48 47 36 7 79 30 36 19 27 46 4 38 27 9 0 12 37 14 4
36 53 50 33 11 76 26 37 10 19 34 3 27 22 7 2 12 35 14 5
18 61 29 28 17 43 38 45 10 14 10 6 10 14 28 4 29 38 19 10
19 61 28 27 16 42 38 47 10 15 10 6 10 15 28 4 29 37 19 10
15 56 14 16 11 34 25 23 8 12 11 5 7 10 7 5 11 21 9 8
6 15 3 3 8 19 11 10 3 1 2 0 3 0 5 4 9 9 2 3
5 16 3 3 9 16 11 13 3 2 3 0 3 0 5 4 9 7 1 3
38 104 80 52 51 101 91 104 40 35 56 9 50 40 26 3 53 65 37 11
13 40 20 14 12 32 25 20 11 8 7 5 22 8 11 1 12 20 14 0
5 31 14 14 9 26 23 14 19 11 3 6 21 11 7 1 7 25 9 1
13 35 17 14 12 33 25 20 11 10 8 5 22 8 11 1 12 23 15 0
13 36 16 15 6 22 23 19 9 5 7 7 16 14 8 0 13 17 10 3
12 37 14 10 6 24 24 13 11 8 6 6 20 11 7 1 14 19 13 3
31 24 9 11 25 28 21 17 18 10 12 8 22 16 11 2 16 21 14 7
4 13 7 4 7 16 11 17 9 4 3 0 8 6 1 0 9 13 4 0
5 17 7 5 4 16 9 16 6 6 11 0 8 7 0 0 8 15 3 2
12 33 13 9 7 17 21 15 6 3 9 9 4 6 8 2 18 15 12 6
15 29 15 13 8 12 20 15 3 4 9 5 3 5 11 3 18 18 12 8
54 91 40 40 27 55 44 61 23 26 35 17 46 38 23 5 37 44 19 20
14 64 24 13 15 49 36 32 11 9 6 8 9 10 8 3 18 40 11 8
18 83 30 30 16 50 33 47 13 10 19 10 23 14 12 5 35 38 17 10
3 17 6 1 4 18 5 13 4 2 1 0 7 6 5 1 13 7 4 4
10 42 21 5 16 37 30 31 8 7 5 2 13 8 17 2 28 26 21 16
14 69 21 12 21 38 27 27 9 5 8 3 12 9 17 0 33 19 8 13
7 41 4 3 5 29 17 20 4 2 4 1 7 5 3 0 11 8 3 2
6 18 6 4 0 16 8 11 0 2 1 1 4 3 3 0 4 5 3 0
23 71 26 35 26 98 61 53 19 13 11 34 29 26 28 4 54 44 28 20
19 115 30 16 29 82 70 42 15 9 10 15 17 13 26 0 40 24 19 15
13 106 17 17 23 73 60 28 8 2 7 8 17 10 16 0 42 7 8 7
15 89 26 18 29 78 42 35 10 2 7 4 10 5 19 0 23 4 6 9
72 78 44 44 34 98 48 73 17 22 26 13 49 44 12 1 21 51 17 7
13 15 13 5 3 17 11 13 2 4 1 2 7 3 3 2 12 11 5 5
6 25 9 6 5 22 16 20 5 4 4 4 11 4 6 1 9 19 6 2
6 20 6 2 1 12 9 6 0 4 5 2 3 2 2 0 3 11 5 1
16 99 33 33 18 69 59 58 15 20 11 15 15 14 19 3 38 33 29 16
12 76 31 26 22 45 46 35 13 8 20 11 13 9 16 3 40 40 26 17
12 75 34 12 19 48 41 38 8 9 9 6 9 11 21 1 23 25 17 7
11 51 37 11 7 39 31 41 15 17 10 3 17 7 11 1 31 39 18 3
15 46 38 31 9 59 38 30 30 30 14 8 15 27 24 0 19 16 6 4
14 26 17 27 3 33 40 25 31 28 15 7 22 17 23 0 14 15 2 0
15 27 25 31 10 31 47 27 28 23 16 6 20 20 26 0 16 15 2 0
18 24 19 17 10 54 37 32 26 18 13 7 13 17 18 2 13 11 2 2
18 23 20 17 11 52 39 29 26 21 13 5 14 17 20 3 14 13 2 2
22 29 42 55 28 42 35 71 35 24 16 8 32 25 12 24 12 24 6 5
22 27 42 55 29 42 34 72 38 25 16 8 29 24 12 24 13 23 7 5
17 26 40 47 29 45 37 62 37 25 20 6 35 26 14 37 16 27 6 5
16 20 24 19 6 33 37 29 22 16 15 12 13 17 18 0 15 7 2 5
11 23 32 19 6 37 43 30 22 19 18 8 15 15 18 0 15 9 4 4
15 24 27 14 5 34 39 28 21 18 15 10 15 19 16 0 12 13 2 4
13 25 25 16 5 33 40 28 21 18 17 9 15 19 15 0 13 13 2 4
14 34 35 32 19 47 32 20 18 24 14 4 14 18 11 7 18 23 8 10
13 35 25 30 17 54 30 21 20 19 13 4 11 21 12 7 18 22 7 10
14 34 27 30 15 59 29 19 18 20 12 4 11 22 12 8 17 22 9 10
13 16 18 9 10 29 15 29 14 11 16 5 18 10 6 4 5 8 3 1
13 23 16 23 19 37 38 27 19 19 17 5 13 22 17 2 9 16 6 5
15 23 17 20 17 36 41 28 18 20 17 3 13 23 17 2 11 10 7 6
14 28 21 22 15 41 41 29 22 15 22 3 8 26 19 2 10 10 6 5
13 24 16 25 19 37 38 28 19 19 17 6 15 23 15 2 9 15 5 6
13 32 28 32 15 47 30 27 21 20 13 3 17 24 11 8 19 15 12 7
10 32 22 23 3 32 44 23 18 28 20 2 9 35 28 0 19 9 3 3
13 31 30 33 15 47 29 24 20 19 14 3 16 25 11 9 19 16 12 7
12 23 16 22 5 34 49 26 19 32 13 1 14 27 29 0 19 14 5 2
14 20 20 25 3 40 38 23 17 29 20 2 15 28 29 0 14 13 8 5
16 22 12 16 9 20 28 15 8 21 9 7 23 27 22 3 18 7 8 10
13 33 25 32 16 50 27 28 23 21 11 3 15 27 12 8 19 17 10 7
13 30 25 33 15 50 29 24 21 19 14 3 17 25 12 9 20 15 12 7
13 31 28 32 15 48 30 26 20 18 14 4 16 26 12 9 19 14 12 7
6 7 15 14 4 17 21 11 8 8 7 1 6 8 16 1 8 7 4 2
7 8 12 12 3 17 22 13 7 14 9 0 6 7 14 1 7 7 4 2
16 26 29 21 8 40 56 24 15 26 16 2 8 26 20 0 26 12 10 4
13 41 18 14 18 31 24 24 12 9 4 5 6 8 12 1 18 31 14 3
14 40 16 15 18 33 24 25 11 9 5 4 6 8 12 1 19 30 13 3
15 44 29 9 9 23 26 33 7 8 6 3 12 14 5 1 21 17 15 5
15 43 29 11 9 23 26 30 7 8 6 3 11 13 5 1 23 19 15 5
17 66 29 22 23 51 44 34 19 11 14 11 20 17 16 2 31 46 18 7
17 79 26 29 21 55 44 45 12 12 15 5 8 11 15 2 22 38 19 8
54 74 77 52 34 67 86 63 26 45 34 7 31 53 38 7 26 32 14 16
6 60 16 13 20 28 27 27 13 5 11 0 3 5 6 3 20 18 10 6
9 24 9 11 7 26 5 19 4 3 5 2 5 6 4 1 13 12 5 11
51 78 36 41 15 53 34 40 14 24 43 7 32 31 13 7 17 30 14 13
15 47 33 14 17 38 31 40 20 10 12 4 13 4 18 10 26 28 17 9
11 23 22 24 3 28 38 21 24 27 18 1 13 33 22 0 20 11 9 3
38 63 21 22 21 31 27 25 14 20 23 12 30 15 7 2 15 18 15 12
11 49 28 22 16 56 46 46 17 20 8 12 18 19 8 2 22 38 20 4
8 31 17 7 7 21 14 22 4 10 10 2 8 4 8 3 17 26 11 9
18 37 14 14 11 31 15 27 5 12 14 7 6 13 11 4 21 33 18 11
10 29 7 12 6 28 26 20 13 8 6 2 11 20 3 0 15 20 17 0
18 34 34 29 12 41 53 20 23 21 18 6 20 35 26 0 24 16 7 6
15 19 21 18 10 37 37 34 19 26 11 6 21 26 16 4 13 9 7 1
27 33 30 27 6 43 51 33 24 27 8 3 21 36 25 1 18 13 5 9
5 39 40 25 18 46 43 46 15 20 11 3 12 4 14 6 23 38 21 10
19 60 26 25 23 47 43 39 20 11 14 9 18 22 17 4 29 48 19 7
17 42 29 23 18 40 47 40 14 15 9 8 14 6 14 2 32 52 21 14
39 89 36 24 23 71 58 35 11 20 37 8 17 25 8 2 19 27 18 8
23 80 40 40 32 70 76 49 22 29 26 45 16 30 18 6 51 57 14 28
23 80 40 43 32 68 76 48 21 30 23 46 17 29 19 5 50 56 17 29
23 76 44 38 35 73 78 53 20 26 25 42 15 30 19 5 52 51 22 28
21 78 47 40 34 74 74 45 23 27 24 43 17 28 23 4 49 50 24 26
17 78 39 45 32 73 65 43 23 33 27 42 20 26 31 3 54 42 14 33
17 80 39 44 32 73 66 41 23 36 28 41 18 27 32 2 52 44 15 32
17 80 40 42 31 77 66 41 21 30 29 42 18 31 27 3 53 41 18 33
17 82 43 41 28 77 67 42 24 31 25 41 17 30 29 2 52 42 13 29
16 81 39 47 29 80 68 38 20 32 22 42 19 28 26 2 51 45 13 32
2 21 15 5 9 14 20 10 5 4 3 2 5 5 4 1 11 7 3 2
4 22 8 10 10 17 24 7 2 7 4 2 4 3 6 2 7 8 4 1
5 20 11 8 6 15 24 10 1 5 7 2 5 6 7 0 12 8 3 2
13 31 26 17 16 37 32 22 2 24 8 11 16 8 14 5 27 29 12 10
14 31 28 17 16 30 34 26 2 21 10 11 16 10 14 4 28 24 14 10
12 37 23 18 15 37 33 22 1 20 14 11 15 8 13 7 27 28 9 10
12 32 27 19 16 31 36 24 1 20 14 10 16 7 13 4 29 27 12 10
12 30 27 20 16 32 35 25 1 21 14 10 16 7 14 4 28 26 12 10
13 29 25 18 17 36 34 26 1 21 10 10 16 9 13 4 27 30 11 10
13 29 27 19 16 29 35 25 1 20 13 10 16 7 14 4 28 27 13 10
14 32 26 18 16 38 33 25 1 20 11 10 16 8 14 5 26 27 10 10
12 29 27 15 17 33 34 29 3 21 11 10 15 8 12 7 30 23 14 10
13 30 27 20 16 31 35 24 1 21 15 9 16 7 14 4 28 27 12 10
16 40 20 17 16 35 33 24 4 14 11 8 18 9 8 3 37 15 10 14
6 39 17 14 18 38 31 23 11 9 4 1 13 5 8 1 20 40 14 7
21 70 42 40 33 71 63 55 16 21 18 13 20 25 15 6 40 42 12 8
